	W	Reject null hypothesis
0a69950e803a5d9e7166c450e44f43cf	2	False
a1b971c01ce0b220275c218adbe717c1	2	False
7fee9350277038eef98dee70b4190563	2	False
868a4fe285b85fa1b8eb40071d5397be	2	False
3677e15d86603bf0a6bb50f8b010afe7	2	False
0160e14a78b18b903618f11bc732746e	2	False
b8b19c4f0719a5d5b965a0f50f05827c	2	False
f023384b8f989d014dd2ead7f10db307	1	False
f8f937eeee7762f446a0e87292f98eb6	1	False
3ae3e825c5e3862af6c17798e2b40a37	1	False
823698689031b0b9c2c5152f92ffc70f	1	False
465e9cab9abce306c1e0f7459b325c33	1	False
e063d1c3c9daf7390e5475e48d9b01c5	1	False
ed950935b660fb10449d5f229dc13fb9	1	False
ff3df50eea7490dd794148649c480fd3	1	False
ee0fb26fca3afb05e0b288d6fcab899e	1	False
57b34afdff2e84fb9b0befd219edcb38	1	False
30faafef155964edd9db9374f36c45bf	1	False
67f9c74eeea5a4609bd1d2fab66ad3cc	1	False
2e68ab0fcb3a1b7ebc2c48f21839ecc2	1	False
b00d44992702bd3743d7f353638d42f9	1	False
2e55763e77234a7bfc3a311067a0c7e1	1	False
87899779aec8d38dfaf48d895cfe8021	1	False
77a517253ff10afeb78a37bc13d649a0	1	False
b8afb7bb30b7a9170b7c6dcd40251d54	1	False
aa668eb01ca9dcc59aeb1454b600c8c8	1	False
7dd9c9124ec3f118a6cef1f0d422c011	1	False
26133b4163fdcd22d86f4e04e74154f1	1	False
9e1c6b703a4312cce306c7757688a351	1	False
44ff26d8105cf822417b4b0c4eb27c02	1	False
0c4b17f88dae47697d3bceb3663f47ce	1	False
846cbaf603b77be035fe0cb61d14a23c	1	False
3ef461f213bfc675ddf0b1bfeef2dc52	0	False
01e0b7ac306895be84179f2715af269b	0	False
79e9e337b10e2d298bb1b3bde946782d	0	False
f59a4d48a03cc224462bf83e4d4ab126	0	False
d2613a43f4ed1dda8a673e7fb251ebef	0	False
f16a387e898dbae6432b2ed0241120bd	0	False
90d32ffe026535b392c0bad850f213c4	0	False
b5bf6383b53e0add0d6589b73949462a	0	False
