id	clr	W
0160e14a78b18b903618f11bc732746e	3.226003938732398	2
01e0b7ac306895be84179f2715af269b	-0.36395586100056776	0
02ef9a59d6da8b642271166d3ffd1b52	1.7192082813048826	9
0305a4993ecf2d8ef4149fdfc7592603	-0.3149468379911884	5
047b7fb62a5e9d2711e639ae1cb1519a	-0.17850474961726226	6
052128d7d424728578efe7852b0afd0d	2.3421650544630257	9
06c3b8c72269d783e9d96b6e71d7469d	-0.6720250061227651	7
0741ae033054073fece98b9948ec4387	0.8650920678566469	3
0a69950e803a5d9e7166c450e44f43cf	-2.0437325151854466	2
0c4b17f88dae47697d3bceb3663f47ce	-0.74394552423571	1
0d7b78d297d61ed4c2cb4df47c5e7ecd	0.917001909051208	4
0f55566622d8244073432b2e67b24baa	0.9394049487236293	3
136e9f5aa470119165e59d202fdb318c	0.7938827877767591	3
1395953fab837ed426f9b2ba24da41b1	1.1126917438636157	8
145f11599b92ad3a4c93896b0edf8c0c	-2.544308145797533	4
154709e160e8cada6bfb21115acc80f5	0.928818184940507	10
160029903cd9c779390f4719179aeea2	0.23605226953362024	3
1893b0ad352ee7db0f565bc4594e6dc6	-0.43590960391255185	3
1a8d25f7529d783a219ef689701dd4e2	-1.0743844842312897	3
1d17561d16d803f652b0d6bdd671c1cc	0.5334482862520793	3
1d2e5f3444ca750c85302ceee2473331	0.22385472849126287	3
1ea96d595539133266a3dbd49daac1e4	-0.2240851388157512	5
1f0a072da4906270a684a389c1586582	-2.329182279352012	12
201b6484b6abe3d4c587464be6cbd574	-0.17146203037558871	6
21a0198d0a83a8f3ec0e401067138940	-1.5171266591210355	8
24dfe6a7325e4f2be7dbd522ef613e42	0.4401040878629139	2
26133b4163fdcd22d86f4e04e74154f1	-2.402275132555804	1
29a92aecac56c855cbfc0debf9bda0c8	0.556682785166897	7
2b148d88c49e316f85b6e7863089a886	1.6781325184820635	14
2e55763e77234a7bfc3a311067a0c7e1	-0.7845042237925148	1
2e68ab0fcb3a1b7ebc2c48f21839ecc2	1.0979816188578828	1
2fa276cce32e900f0f68d30e460b8f61	-1.6757033292552885	13
30faafef155964edd9db9374f36c45bf	-0.8291771709783584	1
32875774cffdc8c820f91d8e86f9a0e6	1.3983246245143521	5
