,0
L4S137,6770.0
L4S63,5913.0
L1S57,5525.0
L4S112,5524.0
L6S93,5261.0
L6S20,5171.0
L1S208,5138.0
L1S76,5037.0
L1S105,5020.0
L1S140,4749.0
L1S8,4734.0
L6S68,4583.0
L1S281,3955.0
L1S257,3949.0
L2S240,3535.0
L2S175,2955.0
L2S382,2583.0
L2S155,2579.0
L5S222,1973.0
L2S204,1969.0
L5S104,1719.0
L2S222,1603.0
L5S203,1561.0
L2S357,1533.0
L5S174,1429.0
L5S155,1347.0
L5S240,1329.0
L2S309,895.0
L3S378,850.0
L3S294,800.0
L3S313,741.0
L3S242,660.0
L3S341,653.0
L3S360,514.0
